2022-06-08 23:03:02,727 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2022-06-08 23:03:02,750 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2022-06-08 23:03:02,751 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2022-06-08 23:03:02,752 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2022-06-08 23:03:02,765 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2022-06-08 23:03:02,765 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2022-06-08 23:03:02,898 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2022-06-08 23:04:24,800 INFO  SwAddin.cs: 271 - Assembly export called for file ssmm_mobile.SLDASM
2022-06-08 23:04:29,569 INFO  SwAddin.cs: 290 - Saving assembly
2022-06-08 23:04:29,693 INFO  SwAddin.cs: 293 - Opening property manager
2022-06-08 23:04:29,711 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from ssmm_mobile.SLDASM
2022-06-08 23:04:29,738 INFO  ExportHelperExtension.cs: 1142 - Found 23 in ssmm_mobile.SLDASM
2022-06-08 23:04:29,739 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in ssmm_mobile.SLDASM
2022-06-08 23:04:29,740 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2022-06-08 23:04:29,741 INFO  ExportHelperExtension.cs: 1167 - 1 components to check
2022-06-08 23:04:29,742 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from Mobile_Assy-1
2022-06-08 23:04:29,742 INFO  ExportHelperExtension.cs: 1142 - Found 34 in Mobile_Assy-1
2022-06-08 23:04:29,743 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in Mobile_Assy-1
2022-06-08 23:04:29,743 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from ssmm_mobile.SLDASM
2022-06-08 23:04:29,744 INFO  ExportHelperExtension.cs: 1142 - Found 23 in ssmm_mobile.SLDASM
2022-06-08 23:04:29,744 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in ssmm_mobile.SLDASM
2022-06-08 23:04:29,744 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2022-06-08 23:04:29,744 INFO  ExportHelperExtension.cs: 1167 - 1 components to check
2022-06-08 23:04:29,745 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from Mobile_Assy-1
2022-06-08 23:04:29,745 INFO  ExportHelperExtension.cs: 1142 - Found 34 in Mobile_Assy-1
2022-06-08 23:04:29,746 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in Mobile_Assy-1
2022-06-08 23:04:30,074 INFO  SwAddin.cs: 316 - Loading config tree
2022-06-08 23:04:30,078 INFO  ExportPropertyManagerExtension.cs: 597 - Starting new configuration
2022-06-08 23:04:30,081 INFO  SwAddin.cs: 321 - Showing property manager
2022-06-08 23:04:44,648 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-06-08 23:04:51,728 INFO  ExportPropertyManager.cs: 1078 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-06-08 23:04:52,059 INFO  ExportPropertyManager.cs: 1078 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-06-08 23:04:54,191 INFO  ExportPropertyManager.cs: 1078 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-06-08 23:05:28,372 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-06-08 23:05:33,753 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-06-08 23:05:49,901 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
